CITY WEAPONS SORTED BY RARITY
==============================

Format: Path | Name | Average Requirement | Damage Type | Attack Speed


=== RARITY 0 - CRUDE (No/Low Requirements) ===

/obj/item/ego_weapon/city/axegang | "axe gang axe" | Avg Req: 0 | RED | Speed: 1.4
/obj/item/ego_weapon/city/cane/briefcase | "cane office - briefcase" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/cane/cane | "cane office - cane" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/cane/claw | "cane office - claw" | Avg Req: 0 | RED | Speed: 0.3
/obj/item/ego_weapon/city/cane/fist | "cane office - gauntlet" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/carnival_spear/weak | "Worn-down Carnival Spear" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/dawn/cello | "dawn office cello case" | Avg Req: 0 | RED | Speed: 1.5
/obj/item/ego_weapon/city/dawn/sword | "dawn office sword" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/dawn/zwei | "dawn office zweihander" | Avg Req: 0 | RED | Speed: 2
/obj/item/ego_weapon/city/district23 | "district 23 butcher knife" | Avg Req: 0 | RED | Speed: 2
/obj/item/ego_weapon/city/fakeindex/proxy/knife | "index dagger" | Avg Req: 0 | RED | Speed: 0.5
/obj/item/ego_weapon/city/fakeindex/proxy/spear | "index spear" | Avg Req: 0 | RED | Speed: 1.2
/obj/item/ego_weapon/city/fixerblade | "fixer blade" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/fixergreatsword | "fixer greatsword" | Avg Req: 0 | RED | Speed: 2
/obj/item/ego_weapon/city/fixerhammer | "fixer hammer" | Avg Req: 0 | RED | Speed: 1.4
/obj/item/ego_weapon/city/handchainsword | "chainsword" | Avg Req: 0 | RED | Speed: 2
/obj/item/ego_weapon/city/index/proxy/spear | "index spear" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/kcorp | "K corp baton" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/kcorp/axe | "K corp axe" | Avg Req: 0 | RED | Speed: 1.7
/obj/item/ego_weapon/city/lccb_bat | "LCCB bat" | Avg Req: 0 | RED | Speed: 2
/obj/item/ego_weapon/city/lcorp/baton | "l-corp combat baton" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/lcorp/club | "l-corp club" | Avg Req: 0 | RED | Speed: 1.6
/obj/item/ego_weapon/city/lcorp/machete | "l-corp machete" | Avg Req: 0 | RED | Speed: 0.5
/obj/item/ego_weapon/city/leaflet/round | "leaflet round hammer" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/leaflet/wide | "leaflet wide hammer" | Avg Req: 0 | RED | Speed: 1.2
/obj/item/ego_weapon/city/liu | "Liu template" | Avg Req: 0 | WHITE | Speed: 1
/obj/item/ego_weapon/city/mantis | "mantis blade" | Avg Req: 0 | RED | Speed: 1
/obj/item/ego_weapon/city/mantis/black | "mantis blade (B)" | Avg Req: 0 | BLACK | Speed: 1
/obj/item/ego_weapon/city/mariachi | "maraca" | Avg Req: 0 | WHITE | Speed: 1
